,날짜,종가,전일비,시가,고가,저가,거래량
1,2025.12.05,107500.0,"상승  2,400",105300.0,107900.0,104600.0,15197530.0
2,2025.12.04,105100.0,상승  600,103900.0,105100.0,103200.0,11931145.0
3,2025.12.03,104500.0,"상승  1,100",104700.0,105500.0,104000.0,14697927.0
4,2025.12.02,103400.0,"상승  2,600",101200.0,103500.0,101000.0,13649487.0
5,2025.12.01,100800.0,상승  300,102000.0,102800.0,99900.0,10905526.0
9,2025.11.28,100500.0,"하락  3,000",103800.0,103800.0,100500.0,15292277.0
10,2025.11.27,103500.0,상승  700,104100.0,105500.0,102700.0,16453004.0
11,2025.11.26,102800.0,"상승  3,500",100500.0,102900.0,99300.0,21314975.0
12,2025.11.25,99300.0,"상승  2,600",101400.0,101400.0,97800.0,16110054.0
13,2025.11.24,96700.0,"상승  1,900",97800.0,99000.0,96200.0,29831172.0
1,2025.11.21,94800.0,"하락  5,800",95600.0,96800.0,94500.0,23103574.0
2,2025.11.20,100600.0,"상승  4,100",100900.0,102900.0,99500.0,25360435.0
3,2025.11.19,96500.0,"하락  1,300",97100.0,97500.0,94600.0,18993346.0
4,2025.11.18,97800.0,"하락  2,800",99800.0,100900.0,97500.0,18684068.0
5,2025.11.17,100600.0,"상승  3,400",99800.0,101000.0,99500.0,17192584.0
9,2025.11.14,97200.0,"하락  5,600",99000.0,99600.0,97200.0,21806342.0
10,2025.11.13,102800.0,하락  300,102500.0,104200.0,102300.0,20838741.0
11,2025.11.12,103100.0,하락  400,103000.0,103900.0,101600.0,19413497.0
12,2025.11.11,103500.0,"상승  2,900",103700.0,106000.0,102000.0,27742542.0
13,2025.11.10,100600.0,"상승  2,700",98600.0,101000.0,97900.0,23842327.0
1,2025.11.07,97900.0,"하락  1,300",96400.0,100300.0,96300.0,22908083.0
2,2025.11.06,99200.0,"하락  1,400",103700.0,103800.0,98800.0,28655689.0
3,2025.11.05,100600.0,"하락  4,300",101000.0,102000.0,96700.0,44843020.0
4,2025.11.04,104900.0,"하락  6,200",111800.0,112400.0,104900.0,30450281.0
5,2025.11.03,111100.0,"상승  3,600",106900.0,111500.0,106500.0,30110066.0
9,2025.10.31,107500.0,"상승  3,400",105000.0,108600.0,103300.0,54824564.0
10,2025.10.30,104100.0,"상승  3,600",102400.0,105800.0,102000.0,34570017.0
11,2025.10.29,100500.0,"상승  1,000",100200.0,101000.0,99100.0,20899788.0
12,2025.10.28,99500.0,"하락  2,500",100900.0,101000.0,99100.0,20002282.0
13,2025.10.27,102000.0,"상승  3,200",101300.0,102000.0,100600.0,22169970.0
1,2025.10.24,98800.0,"상승  2,300",97900.0,99000.0,97700.0,18801925.0
2,2025.10.23,96500.0,"하락  2,100",96800.0,98500.0,96300.0,18488581.0
3,2025.10.22,98600.0,"상승  1,100",97100.0,98600.0,95500.0,15937611.0
4,2025.10.21,97500.0,하락  600,98500.0,99900.0,97300.0,22803830.0
5,2025.10.20,98100.0,상승  200,97900.0,98300.0,96000.0,17589756.0
9,2025.10.17,97900.0,상승  200,97200.0,99100.0,96700.0,22730809.0
10,2025.10.16,97700.0,"상승  2,700",95300.0,97700.0,95000.0,28141060.0
11,2025.10.15,95000.0,"상승  3,400",92300.0,95300.0,92100.0,21050111.0
12,2025.10.14,91600.0,"하락  1,700",95300.0,96000.0,90200.0,35545235.0
13,2025.10.13,93300.0,"하락  1,100",91300.0,93400.0,90700.0,23883308.0
1,2025.10.10,94400.0,"상승  5,400",94000.0,94500.0,92700.0,35269748.0
2,2025.10.02,89000.0,"상승  3,000",89300.0,90300.0,88700.0,49883028.0
3,2025.10.01,86000.0,"상승  2,100",84900.0,86200.0,84700.0,22039361.0
4,2025.09.30,83900.0,하락  300,84600.0,84900.0,83400.0,16319061.0
5,2025.09.29,84200.0,상승  900,83300.0,85000.0,83200.0,13069094.0
9,2025.09.26,83300.0,"하락  2,800",85000.0,85300.0,82400.0,24071193.0
10,2025.09.25,86100.0,상승  700,84400.0,86200.0,84100.0,19665151.0
11,2025.09.24,85400.0,상승  700,84200.0,85500.0,83700.0,18300997.0
12,2025.09.23,84700.0,"상승  1,200",85800.0,85900.0,83600.0,23610263.0
13,2025.09.22,83500.0,"상승  3,800",81500.0,84000.0,81100.0,27529656.0
